decibeles,minutosPartido
"82,30",102:14
"79,70",102:15
"86,00",102:16
"79,50",102:18
"94,50",102:18
"90,30",102:19
"84,70",102:20
"84,10",102:21
"84,60",102:22
"76,00",102:23
"81,90",102:24
"83,40",102:25
"83,80",102:26
"84,30",102:27
"83,30",102:28
"81,90",102:29
"81,60",102:30
"82,40",102:31
"76,40",102:32
"84,50",102:33
"75,20",102:34
"83,50",102:35
"79,70",102:36
"75,90",102:37
"75,70",102:38
"82,90",102:39
"84,90",102:40
"86,10",102:41
"84,00",102:42
"84,70",102:43
"84,50",102:45
"84,50",102:45
"87,60",102:46
"86,90",102:47
"91,30",102:48
"92,80",102:49
"84,80",102:50
"84,10",102:51
"85,50",102:52
"82,70",102:53
"85,00",102:54
"82,20",102:55
"83,10",102:56
"82,20",102:57
"93,90",102:58
"81,60",102:59
"79,10",103:00
"81,80",103:01
"79,50",103:03
"79,40",103:03
"81,10",103:04
"81,40",103:05
"82,60",103:06
"82,00",103:07
"80,10",103:08
"78,90",103:09
"82,00",103:10
"83,20",103:11
"85,20",103:12
"82,50",103:13
"82,60",103:14
"82,70",103:15
"82,90",103:16
"82,70",103:17
"82,00",103:18
"82,60",103:19
"81,50",103:20
"82,90",103:21
"85,30",103:22
"84,00",103:23
"82,10",103:24
"82,30",103:25
"85,50",103:26
"80,50",103:27
"85,50",103:28
"85,90",103:30
"81,50",103:30
"77,40",103:31
"83,10",103:32
"82,40",103:33
"81,00",103:34
"81,00",103:35
"82,90",103:36
"83,60",103:37
"81,10",103:38
"82,60",103:39
"80,00",103:40
"77,90",103:41
"83,40",103:42
"83,30",103:43
"78,00",103:44
"81,90",103:45
"83,30",103:46
"84,40",103:48
"82,50",103:48
"83,10",103:49
"83,00",103:50
"84,10",103:51
"82,90",103:52
"82,60",103:53
"82,40",103:54
"85,80",103:55
"83,90",103:56
"84,80",103:57
"81,60",103:58
"83,80",103:59
"85,90",104:00
"84,50",104:01
"88,40",104:02
"88,50",104:03
"84,50",104:04
"84,70",104:05
"85,30",104:06
"82,80",104:07
"84,70",104:08
"92,80",104:09
"90,50",104:10
"89,80",104:11
"80,80",104:12
"83,30",104:13
"84,20",104:15
"86,70",104:15
"86,30",104:16
"84,90",104:17
"85,10",104:18
"84,00",104:19
"84,50",104:20
"88,10",104:21
"85,00",104:22
"83,60",104:23
"84,30",104:24
"81,80",104:25
"83,50",104:26
"82,80",104:27
"82,20",104:28
"84,10",104:29
"84,80",104:30
"85,00",104:31
"84,90",104:33
"84,10",104:33
"83,40",104:34
"83,80",104:35
"82,40",104:36
"84,30",104:37
"82,70",104:38
"82,60",104:39
"82,60",104:40
"84,00",104:41
"86,50",104:42
"88,60",104:43
"84,50",104:44
"84,70",104:45
"86,30",104:46
"87,50",104:47
"91,00",104:48
"88,30",104:49
"85,50",104:50
"85,80",104:51
"82,90",104:52
"81,90",104:53
"83,20",104:54
"83,80",104:55
"84,50",104:56
"80,90",104:57
"83,20",104:58
"81,10",105:00
"82,70",105:00
"83,60",105:01
"83,20",105:02
"80,80",105:03
"80,80",105:04
"83,60",105:05
"79,50",105:06
"82,00",105:07
"82,70",105:08
"82,60",105:09
"85,70",105:10
"86,30",105:11
"83,80",105:12
"84,00",105:13
"82,10",105:14
"84,50",105:15
"80,50",105:16
"82,20",105:18
"83,30",105:18
"82,80",105:19
"83,20",105:20
"82,10",105:21
"81,30",105:22
"82,20",105:23
"81,10",105:24
"81,50",105:25
"80,60",105:26
"81,10",105:27
"82,20",105:28
"82,70",105:29
"82,00",105:30
"81,90",105:31
"80,50",105:32
"82,50",105:33
"84,10",105:34
"83,10",105:35
"82,10",105:36
"83,10",105:37
"81,60",105:38
"82,30",105:39
"82,00",105:40
"81,90",105:41
"82,80",105:42
"84,60",105:43
"83,60",105:45
"83,30",105:45
"82,90",105:46
"83,60",105:47
"80,90",105:48
"80,70",105:49
"81,60",105:50
"83,70",105:51
"84,30",105:00
"82,50",105:00
"79,80",105:00
"80,00",105:01
"80,50",105:02
"82,00",105:03
"81,70",105:04
"78,40",105:05
"76,60",105:06
"79,70",105:07
"76,30",105:08
"76,90",105:09
"77,90",105:10
"79,40",105:11
"80,10",105:12
"84,00",105:13
"82,90",105:14
"81,40",105:15
"81,30",105:16
"79,60",105:18
"83,30",105:18
"79,30",105:19
"81,60",105:20
"81,50",105:21
"81,10",105:22
"79,40",105:23
"81,70",105:24
"81,80",105:25
"80,10",105:26
"81,50",105:27
"82,60",105:28
"81,10",105:29
"83,40",105:30
"84,80",105:31
"86,70",105:32
"87,50",105:33
"91,50",105:34
"88,80",105:35
"84,00",105:36
"84,50",105:37
"81,80",105:38
"86,30",105:39
"83,70",105:40
"82,70",105:41
"88,50",105:42
"87,30",105:43
"90,50",105:45
"89,10",105:45
"88,40",105:46
"84,50",105:47
"86,50",105:48
"86,60",105:49
"87,50",105:50
"85,80",105:51
"85,00",105:52
"80,50",105:53
"83,10",105:54
"84,80",105:55
"82,70",105:56
"80,90",105:57
"86,50",105:58
"86,20",105:59
"86,80",106:00
"85,10",106:01
"87,80",106:03
"90,00",106:03
"83,50",106:04
"83,20",106:05
"83,70",106:06
"84,10",106:07
"87,10",106:08
"86,50",106:09
"83,50",106:10
"79,10",106:11
"80,60",106:12
"85,70",106:13
"80,70",106:14
"79,10",106:15
"84,00",106:16
"83,80",106:17
"84,90",106:18
"81,60",106:19
"83,90",106:20
"78,90",106:21
"82,50",106:22
"80,80",106:23
"85,80",106:24
"84,40",106:25
"84,30",106:26
"83,80",106:27
"83,00",106:28
"85,40",106:30
"85,10",106:30
"87,20",106:31
"86,80",106:32
"78,00",106:33
"85,70",106:34
"91,40",106:35
"86,60",106:36
"87,20",106:37
"87,30",106:38
"92,80",106:39
"88,70",106:40
"89,50",106:41
"91,90",106:42
"88,00",106:43
"96,70",106:44
"95,90",106:45
"97,10",106:46
"91,80",106:48
"87,80",106:48
"88,50",106:49
"87,30",106:50
"84,10",106:51
"86,60",106:52
"85,40",106:53
"80,50",106:54
"83,40",106:55
"86,10",106:56
"83,60",106:57
"84,40",106:58
"87,20",106:59
"79,90",107:00
"86,80",107:01
"84,50",107:02
"86,10",107:03
"88,60",107:04
"85,10",107:05
"87,00",107:06
"87,70",107:07
"83,90",107:08
"78,90",107:09
"84,20",107:10
"84,30",107:11
"84,50",107:12
"84,50",107:13
"86,90",107:15
"83,00",107:15
"89,30",107:16
"87,30",107:17
"84,30",107:18
"84,90",107:19
"85,20",107:20
"86,60",107:21
"82,30",107:22
"79,90",107:23
"82,50",107:24
"88,60",107:25
"88,70",107:26
"89,50",107:27
"84,50",107:28
"86,10",107:29
"83,00",107:30
"80,50",107:31
"83,10",107:33
"88,40",107:33
"81,50",107:34
"86,50",107:35
"82,60",107:36
"85,50",107:37
"85,50",107:38
"83,80",107:39
"86,10",107:40
"84,00",107:41
"83,40",107:42
"81,10",107:43
"86,80",107:44
"85,70",107:45
"79,90",107:46
"80,90",107:47
"86,00",107:48
"85,20",107:49
"82,80",107:50
"87,40",107:51
"87,50",107:52
"92,00",107:53
"88,40",107:54
"86,30",107:55
"85,20",107:56
"84,10",107:57
"84,50",107:58
"86,90",108:00
"87,00",108:00
"85,20",108:01
"86,90",108:02
"84,20",108:03
"86,00",108:04
"84,30",108:05
"85,70",108:06
"84,60",108:07
"81,70",108:08
"83,40",108:09
"87,70",108:10
"81,70",108:11
"85,90",108:12
"82,70",108:13
"87,30",108:14
"85,90",108:15
"84,10",108:16
"83,00",108:18
"87,60",108:18
"86,70",108:19
"83,00",108:20
"85,90",108:21
"86,70",108:22
"81,20",108:23
"81,10",108:24
"83,80",108:25
"86,30",108:26
"83,20",108:27
"84,90",108:28
"86,90",108:29
"81,90",108:30
"86,90",108:31
"85,10",108:32
"83,50",108:33
"86,90",108:34
"87,10",108:35
"79,70",108:36
"80,80",108:37
"85,70",108:38
"80,70",108:39
"84,50",108:40
"81,20",108:41
"85,00",108:42
"81,20",108:43
"82,70",108:45
"85,00",108:45
"84,10",108:46
"81,80",108:47
"85,20",108:48
"83,40",108:49
"85,40",108:50
"86,00",108:51
"86,10",108:52
"87,00",108:53
"79,80",108:54
"85,10",108:55
"84,40",108:56
"87,50",108:57
"90,20",108:58
"89,40",108:59
"89,30",109:00
"87,30",109:01
"86,10",109:03
"86,20",109:03
"83,10",109:04
"88,50",109:05
"91,50",109:06
"103,00",109:07
"103,70",109:08
"98,40",109:09
"93,90",109:10
"94,20",109:11
"95,70",109:12
"95,60",109:13
"93,50",109:14
"89,70",109:15
"88,40",109:16
"87,00",109:17
"85,20",109:18
"86,00",109:19
"86,40",109:20
"87,50",109:21
"84,10",109:22
"87,20",109:23
"84,50",109:24
"86,70",109:25
"86,60",109:26
"83,60",109:27
"87,30",109:28
"86,60",109:30
"87,50",109:30
"89,10",109:31
"93,60",109:32
"89,00",109:33
"83,00",109:34
"87,50",109:35
"86,30",109:36
"87,30",109:37
"83,40",109:38
"87,40",109:39
"88,00",109:40
"88,90",109:41
"90,20",109:42
"90,20",109:43
"84,60",109:44
"98,80",109:45
"104,40",109:46
"96,30",109:48
"91,90",109:48
"96,60",109:49
"96,10",109:50
"85,50",109:51
"88,40",109:52
"85,20",109:53
"84,70",109:54
"84,10",109:55
"82,60",109:56
"84,20",109:57
"84,80",109:58
"83,90",109:59
"84,30",110:00
"78,50",110:01
"77,20",110:02
"84,00",110:03
"79,10",110:04
"83,40",110:05
"82,00",110:06
"85,00",110:07
"84,00",110:08
"80,60",110:09
"85,40",110:10
"81,30",110:11
"86,90",110:12
"85,40",110:13
"75,90",110:15
"77,70",110:15
"84,00",110:16
"81,60",110:17
"83,20",110:18
"84,30",110:19
"82,00",110:20
"83,20",110:21
"82,00",110:22
"87,10",110:23
"83,20",110:24
"87,80",110:25
"79,90",110:26
"84,10",110:27
"83,10",110:28
"86,40",110:29
"87,50",110:30
"91,40",110:31
"92,50",110:33
"95,60",110:33
"87,40",110:34
"84,10",110:35
"83,30",110:36
"80,80",110:37
"81,50",110:38
"82,50",110:39
"83,40",110:40
"82,00",110:41
"82,20",110:42
"82,40",110:43
"82,20",110:44
"82,30",110:45
"82,90",110:46
"82,50",110:47
"83,40",110:48
"81,70",110:49
"84,80",110:50
"84,40",110:51
"85,70",110:52
"83,20",110:53
"85,40",110:54
"79,00",110:55
"83,70",110:56
"81,20",110:57
"83,80",110:58
"79,30",111:00
"83,10",111:00
"83,90",111:01
"83,60",111:02
"83,70",111:03
"80,00",111:04
"84,60",111:05
"85,50",111:06
"84,30",111:07
"82,30",111:08
"84,70",111:09
"79,10",111:10
"84,20",111:11
"81,50",111:12
"85,20",111:13
"80,30",111:14
"80,10",111:15
"84,30",111:16
"86,60",111:18
"93,10",111:18
"94,80",111:19
"87,10",111:20
"84,80",111:21
"84,20",111:22
"87,60",111:23
"84,70",111:24
"84,90",111:25
"84,00",111:26
"85,50",111:27
"83,30",111:28
"85,80",111:29
"91,70",111:30
"96,70",111:31
"90,30",111:32
"83,80",111:33
"76,10",111:34
"85,50",111:35
"81,10",111:36
"82,00",111:37
"83,70",111:38
"86,40",111:39
"83,90",111:40
"85,00",111:41
"84,80",111:42
"87,90",111:43
"84,60",111:45
"83,90",111:45
"83,50",111:46
"86,60",111:47
"79,20",111:48
"86,80",111:49
"88,10",111:50
"91,30",111:51
"95,90",111:52
"91,80",111:53
"97,30",111:54
"100,00",111:55
"99,90",111:56
"84,10",111:57
"81,30",111:58
"76,50",111:59
"84,10",112:00
"84,70",112:01
"83,40",112:03
"83,70",112:03
"85,60",112:04
"82,40",112:05
"80,30",112:06
"84,80",112:07
"85,60",112:08
"84,10",112:09
"83,10",112:10
"85,00",112:11
"84,50",112:12
"86,40",112:13
"85,40",112:14
"82,20",112:15
"85,30",112:16
"82,00",112:17
"84,30",112:18
"83,00",112:19
"84,90",112:20
"86,00",112:21
"86,00",112:22
"82,10",112:23
"87,10",112:24
"83,30",112:25
"85,00",112:26
"86,30",112:27
"87,10",112:28
"90,90",112:30
"100,30",112:30
"102,80",112:31
"96,60",112:32
"88,60",112:33
"85,60",112:34
"85,80",112:35
"88,20",112:36
"87,50",112:37
"87,20",112:38
"85,60",112:39
"88,90",112:40
"84,40",112:41
"89,00",112:42
"86,50",112:43
"88,90",112:44
"88,70",112:45
"88,80",112:46
"83,90",112:48
"90,10",112:48
"87,70",112:49
"87,90",112:50
"87,20",112:51
"86,50",112:52
"85,00",112:53
"86,50",112:54
"84,90",112:55
"84,50",112:56
"88,60",112:57
"93,70",112:58
"87,80",112:59
"82,30",113:00
"87,90",113:01
"82,60",113:02
"84,20",113:03
"85,00",113:04
"84,60",113:05
"86,60",113:06
"85,90",113:07
"84,50",113:08
"83,90",113:09
"83,80",113:10
"81,80",113:11
"78,60",113:12
"80,60",113:13
"84,30",113:15
"84,90",113:15
"81,20",113:16
"86,00",113:17
"85,40",113:18
"83,40",113:19
"83,70",113:20
"82,20",113:21
"82,40",113:22
"82,90",113:23
"84,90",113:24
"85,30",113:25
"84,60",113:26
"82,50",113:27
"82,90",113:28
"82,80",113:29
"84,50",113:30
"84,70",113:31
"84,50",113:33
"81,00",113:33
"82,00",113:34
"84,00",113:35
"83,60",113:36
"84,80",113:37
"85,20",113:38
"82,70",113:39
"81,00",113:40
"83,60",113:41
"81,10",113:42
"84,40",113:43
"85,50",113:44
"81,30",113:45
"82,20",113:46
"80,60",113:47
"82,40",113:48
"83,70",113:49
"85,70",113:50
"82,80",113:51
"82,60",113:52
"82,70",113:53
"82,80",113:54
"77,10",113:55
"82,40",113:56
"82,90",113:57
"75,70",113:58
"82,90",114:00
"82,30",114:00
"79,30",114:01
"81,80",114:02
"79,70",114:03
"75,90",114:04
"80,70",114:05
"83,10",114:06
"80,60",114:07
"81,60",114:08
"83,10",114:09
"83,00",114:10
"79,10",114:11
"81,20",114:12
"82,00",114:13
"84,40",114:14
"78,20",114:15
"83,50",114:16
"79,60",114:18
"86,10",114:18
"87,70",114:19
"96,70",114:20
"92,50",114:21
"83,60",114:22
"85,40",114:23
"81,80",114:24
"83,90",114:25
"82,00",114:26
"84,10",114:27
"85,20",114:28
"90,40",114:29
"84,40",114:30
"83,70",114:31
"86,90",114:32
"85,10",114:33
"86,40",114:34
"81,50",114:35
"84,40",114:36
"87,30",114:37
"87,20",114:38
"85,30",114:39
"82,20",114:40
"79,70",114:41
"82,60",114:42
"84,30",114:43
"83,80",114:45
"82,70",114:45
"81,40",114:46
"86,30",114:47
"82,20",114:48
"82,10",114:49
"82,90",114:50
"78,60",114:51
"84,30",114:52
"86,70",114:53
"88,80",114:54
"87,40",114:55
