timestamp,db
01/07/2014 13:05:20,84.9
01/07/2014 13:05:21,83.6
01/07/2014 13:05:22,84.3
01/07/2014 13:05:23,83.2
01/07/2014 13:05:24,82.3
01/07/2014 13:05:25,87.4
01/07/2014 13:05:26,86.5
01/07/2014 13:05:27,83.9
01/07/2014 13:05:28,85.2
01/07/2014 13:05:29,85
01/07/2014 13:05:30,85.6
01/07/2014 13:05:31,82.2
01/07/2014 13:05:32,87.4
01/07/2014 13:05:33,81.6
01/07/2014 13:05:34,94.5
01/07/2014 13:05:35,96.5
01/07/2014 13:05:36,89.3
01/07/2014 13:05:37,86.5
01/07/2014 13:05:38,85.1
01/07/2014 13:05:39,83.4
01/07/2014 13:05:40,85.1
01/07/2014 13:05:41,84.4
01/07/2014 13:05:42,86.9
01/07/2014 13:05:43,85.8
01/07/2014 13:05:44,82.2
01/07/2014 13:05:45,83.6
01/07/2014 13:05:46,82.5
01/07/2014 13:05:47,79.7
01/07/2014 13:05:48,83.2
01/07/2014 13:05:49,84.9
01/07/2014 13:05:50,83.5
01/07/2014 13:05:51,77.1
01/07/2014 13:05:52,85
01/07/2014 13:05:53,85.6
01/07/2014 13:05:54,82.6
01/07/2014 13:05:55,86.7
01/07/2014 13:05:56,78.8
01/07/2014 13:05:57,79.8
01/07/2014 13:05:58,85.9
01/07/2014 13:05:59,84.3
01/07/2014 13:06:00,85.8
01/07/2014 13:06:01,78.4
01/07/2014 13:06:02,82
01/07/2014 13:06:03,86.7
01/07/2014 13:06:04,84
01/07/2014 13:06:05,82.9
01/07/2014 13:06:06,78.4
01/07/2014 13:06:07,76.7
01/07/2014 13:06:08,86.2
01/07/2014 13:06:09,83.3
01/07/2014 13:06:10,89.3
01/07/2014 13:06:11,83.1
01/07/2014 13:06:12,85
01/07/2014 13:06:13,81.4
01/07/2014 13:06:14,86.3
01/07/2014 13:06:15,79.2
01/07/2014 13:06:16,83.1
01/07/2014 13:06:17,86
01/07/2014 13:06:18,85
01/07/2014 13:06:19,85.2
01/07/2014 13:06:20,89.6
01/07/2014 13:06:21,86.1
01/07/2014 13:06:22,83
01/07/2014 13:06:23,85.3
01/07/2014 13:06:24,83.7
01/07/2014 13:06:25,82.3
01/07/2014 13:06:26,85.4
01/07/2014 13:06:27,82.9
01/07/2014 13:06:28,85.9
01/07/2014 13:06:29,84
01/07/2014 13:06:30,77.8
01/07/2014 13:06:31,84.7
01/07/2014 13:06:32,84.4
01/07/2014 13:06:33,82.1
01/07/2014 13:06:34,85.5
01/07/2014 13:06:35,80.6
01/07/2014 13:06:36,85.3
01/07/2014 13:06:37,82.5
01/07/2014 13:06:38,83.5
01/07/2014 13:06:39,84.3
01/07/2014 13:06:40,85.6
01/07/2014 13:06:41,83.4
01/07/2014 13:06:42,86.1
01/07/2014 13:06:43,81.3
01/07/2014 13:06:44,84.3
01/07/2014 13:06:45,82.8
01/07/2014 13:06:46,81.9
01/07/2014 13:06:47,77.8
01/07/2014 13:06:48,78.5
01/07/2014 13:06:49,84.9
01/07/2014 13:06:50,83.9
01/07/2014 13:06:51,83
01/07/2014 13:06:52,82.1
01/07/2014 13:06:53,82.4
01/07/2014 13:06:54,81.6
01/07/2014 13:06:55,82.7
01/07/2014 13:06:56,83.9
01/07/2014 13:06:57,82.9
01/07/2014 13:06:58,86.3
01/07/2014 13:06:59,75.4
01/07/2014 13:07:00,81.5
01/07/2014 13:07:01,84.8
01/07/2014 13:07:02,80.6
01/07/2014 13:07:03,83.1
01/07/2014 13:07:04,83.1
01/07/2014 13:07:05,82.5
01/07/2014 13:07:06,84.2
01/07/2014 13:07:07,85
01/07/2014 13:07:08,86.3
01/07/2014 13:07:09,84.8
01/07/2014 13:07:10,83.7
01/07/2014 13:07:11,85
01/07/2014 13:07:12,83
01/07/2014 13:07:13,82.3
01/07/2014 13:07:14,83.6
01/07/2014 13:07:15,83.8
01/07/2014 13:07:16,84.9
01/07/2014 13:07:17,83.5
01/07/2014 13:07:18,84.3
01/07/2014 13:07:19,85.5
01/07/2014 13:07:20,81.1
01/07/2014 13:07:21,87
01/07/2014 13:07:22,86.2
01/07/2014 13:07:23,82.7
01/07/2014 13:07:24,84.5
01/07/2014 13:07:25,86.8
01/07/2014 13:07:26,87.4
01/07/2014 13:07:27,76.8
01/07/2014 13:07:28,85.2
01/07/2014 13:07:29,83.2
01/07/2014 13:07:30,84.8
01/07/2014 13:07:31,84.5
01/07/2014 13:07:32,86.6
01/07/2014 13:07:33,86
01/07/2014 13:07:34,85.9
01/07/2014 13:07:35,85.7
01/07/2014 13:07:36,84.1
01/07/2014 13:07:37,85.5
01/07/2014 13:07:38,85.5
01/07/2014 13:07:39,86.6
01/07/2014 13:07:40,88.2
01/07/2014 13:07:41,85.2
01/07/2014 13:07:42,87.5
01/07/2014 13:07:43,84.4
01/07/2014 13:07:44,86
01/07/2014 13:07:45,85.8
01/07/2014 13:07:46,86.2
01/07/2014 13:07:47,81.6
01/07/2014 13:07:48,87.5
01/07/2014 13:07:49,86.3
01/07/2014 13:07:50,86.8
01/07/2014 13:07:51,86.6
01/07/2014 13:07:52,88.1
01/07/2014 13:07:53,88.7
01/07/2014 13:07:54,87.5
01/07/2014 13:07:55,86.1
01/07/2014 13:07:56,86.3
01/07/2014 13:07:57,86.6
01/07/2014 13:07:58,87.1
01/07/2014 13:07:59,85.5
01/07/2014 13:08:00,87.4
01/07/2014 13:08:01,87.7
01/07/2014 13:08:02,83.4
01/07/2014 13:08:03,81.6
01/07/2014 13:08:04,85.6
01/07/2014 13:08:05,86.1
01/07/2014 13:08:06,87.4
01/07/2014 13:08:07,85.6
01/07/2014 13:08:08,85.2
01/07/2014 13:08:09,85.2
01/07/2014 13:08:10,83.2
01/07/2014 13:08:11,85.8
01/07/2014 13:08:12,85.6
01/07/2014 13:08:13,84.8
01/07/2014 13:08:14,83.9
01/07/2014 13:08:15,83.1
01/07/2014 13:08:16,82.9
01/07/2014 13:08:17,84.8
01/07/2014 13:08:18,83.4
01/07/2014 13:08:19,84.1
01/07/2014 13:08:20,84.3
01/07/2014 13:08:21,86.1
01/07/2014 13:08:22,84.2
01/07/2014 13:08:23,80.4
01/07/2014 13:08:24,82.2
01/07/2014 13:08:25,84.8
01/07/2014 13:08:26,84.4
01/07/2014 13:08:27,84.8
01/07/2014 13:08:28,84.8
01/07/2014 13:08:29,85.4
01/07/2014 13:08:30,85.7
01/07/2014 13:08:31,85
01/07/2014 13:08:32,85.3
01/07/2014 13:08:33,83.9
01/07/2014 13:08:34,83.4
01/07/2014 13:08:35,81.8
01/07/2014 13:08:36,86.7
01/07/2014 13:08:37,87.9
01/07/2014 13:08:38,87
