timestamp	db	tiempodejuego	average
01/07/2014 13:32:17	87.80	31:50	91.09
01/07/2014 13:32:27	90.30	32:00	88.16
01/07/2014 13:32:37	87.10	32:10	86.68
01/07/2014 13:32:47	88.30	32:20	86.32
01/07/2014 13:32:57	82.60	32:30	85.08
01/07/2014 13:33:07	83.80	32:40	83.84
01/07/2014 13:33:17	87.30	32:50	84.45
01/07/2014 13:33:27	83.80	33:00	84.97
01/07/2014 13:33:37	86.70	33:10	84.26
01/07/2014 13:33:47	85.90	33:20	84.68
01/07/2014 13:33:57	85.20	33:30	84.44
01/07/2014 13:34:07	83.80	33:40	84.79
01/07/2014 13:34:17	86.10	33:50	85.33
01/07/2014 13:34:27	84.90	34:00	84.10
01/07/2014 13:34:37	82.90	34:10	83.21
01/07/2014 13:34:47	83.80	34:20	83.34
01/07/2014 13:34:57	83	34:30	84.24
01/07/2014 13:35:07	83.90	34:40	82.34
01/07/2014 13:35:17	84.70	34:50	84.55
01/07/2014 13:35:27	93.50	35:00	87.81
01/07/2014 13:35:37	85.40	35:10	83.85
01/07/2014 13:35:47	89.70	35:20	86.28
01/07/2014 13:35:57	85.20	35:30	88.23
01/07/2014 13:36:07	94.30	35:40	89.91
01/07/2014 13:36:17	84.50	35:50	81.86
01/07/2014 13:36:27	82.90	36:00	84.52
01/07/2014 13:36:37	83.20	36:10	84.07
01/07/2014 13:36:47	81.20	36:20	83.64
01/07/2014 13:36:57	85.70	36:30	83.68
01/07/2014 13:37:07	82.40	36:40	83.38
01/07/2014 13:37:17	85.90	36:50	82.88
01/07/2014 13:37:27	80.50	37:00	82.40
01/07/2014 13:37:37	81	37:10	82.59
01/07/2014 13:37:47	84.60	37:20	80.89
01/07/2014 13:37:57	85.70	37:30	83.18
01/07/2014 13:38:07	79.80	37:40	81.09
01/07/2014 13:38:17	85.30	37:50	83.28
01/07/2014 13:38:27	84.90	38:00	83.20
01/07/2014 13:38:37	85.30	38:10	86.63
01/07/2014 13:38:47	83.80	38:20	91.30
01/07/2014 13:38:57	90.20	38:30	86.71
01/07/2014 13:39:07	83.90	38:40	83.90
01/07/2014 13:39:17	85.40	38:50	83.10
01/07/2014 13:39:27	83.60	39:00	84.93
01/07/2014 13:39:37	86.20	39:10	86.51
01/07/2014 13:39:47	84.70	39:20	84.51
01/07/2014 13:39:57	84.80	39:30	83.31
01/07/2014 13:40:07	81.30	39:40	83.27
01/07/2014 13:40:17	86.40	39:50	84.93
01/07/2014 13:40:27	85.40	40:00	84.16
01/07/2014 13:40:37	84.60	40:10	83.61
01/07/2014 13:40:47	84.40	40:20	84.19
01/07/2014 13:40:57	85.20	40:30	84.36
01/07/2014 13:41:07	86.30	40:40	91.85
01/07/2014 13:41:17	89.90	40:50	84.88
01/07/2014 13:41:27	85.20	41:00	83.54
01/07/2014 13:41:37	83.80	41:10	83.88
01/07/2014 13:41:47	81.10	41:20	84.21
01/07/2014 13:41:57	83	41:30	83.41
01/07/2014 13:42:07	85.80	41:40	85.84
01/07/2014 13:42:17	84.30	41:50	83.84
01/07/2014 13:42:27	82.50	42:00	83.74
01/07/2014 13:42:37	83.10	42:10	84.74
01/07/2014 13:42:47	83.10	42:20	84.00
01/07/2014 13:42:57	85.40	42:30	84.44
01/07/2014 13:43:07	84.40	42:40	84.59
01/07/2014 13:43:17	85.60	42:50	85.50
01/07/2014 13:43:27	87.40	43:00	83.62
01/07/2014 13:43:37	85.50	43:10	84.15
