decibeles,minutosPartido
"85,80",56:46
"85,90",56:47
"86,70",56:48
"85,00",56:49
"84,80",56:50
"85,00",56:51
"83,20",56:52
"83,80",56:53
"83,20",56:54
"86,60",56:55
"86,30",56:56
"87,20",56:57
"87,10",56:58
"82,10",57:00
"81,70",57:00
"85,90",57:01
"86,80",57:02
"84,70",57:03
"85,40",57:04
"83,70",57:05
"83,80",57:06
"81,10",57:07
"86,00",57:09
"83,40",57:09
"84,80",57:10
"88,20",57:11
"85,60",57:12
"88,40",57:13
"85,20",57:14
"83,70",57:15
"82,30",57:16
"83,00",57:17
"84,30",57:18
"84,10",57:19
"87,70",57:20
"84,40",57:21
"84,70",57:22
"83,60",57:23
"85,00",57:24
"85,00",57:25
"86,00",57:26
"89,20",57:27
"90,10",57:28
"88,10",57:29
"87,00",57:30
"87,10",57:31
"83,20",57:32
"86,60",57:33
"83,90",57:34
"85,70",57:35
"91,40",57:36
"95,30",57:37
"90,20",57:38
"91,30",57:39
"89,40",57:40
"87,30",57:41
"81,10",57:42
"83,40",57:43
"86,10",57:45
"83,80",57:45
"83,00",57:46
"86,40",57:47
"82,60",57:48
"86,10",57:49
"86,10",57:50
"83,70",57:51
"86,20",57:52
"81,20",57:54
"86,20",57:54
"83,80",57:55
"82,30",57:56
"85,60",57:57
"84,50",57:58
"82,50",57:59
"86,10",58:00
"84,20",58:01
"86,00",58:02
"86,40",58:03
"85,60",58:04
"84,40",58:05
"86,10",58:06
"85,00",58:07
"83,80",58:08
"85,10",58:09
"84,50",58:10
"83,10",58:11
"83,50",58:12
"80,30",58:13
"82,70",58:14
"86,80",58:15
"85,80",58:16
"83,70",58:17
"83,60",58:18
"84,40",58:19
"82,50",58:20
"81,90",58:21
"83,90",58:22
"82,00",58:23
"81,40",58:24
"84,80",58:25
"82,30",58:26
"84,10",58:27
"83,40",58:28
"83,00",58:30
"87,60",58:30
"91,80",58:31
"91,00",58:32
"86,50",58:33
"86,10",58:34
"85,70",58:35
"84,60",58:36
"84,40",58:37
"84,90",58:39
"84,20",58:39
"85,10",58:40
"84,40",58:41
"84,10",58:42
"84,50",58:43
"85,20",58:44
"84,60",58:45
"85,30",58:46
"84,20",58:47
"83,60",58:48
"84,20",58:49
"86,90",58:50
"83,80",58:51
"86,10",58:52
"84,60",58:53
"85,90",58:54
"79,90",58:55
"83,00",58:56
"84,60",58:57
"82,90",58:58
"86,90",58:59
"84,70",59:00
"83,90",59:01
